price(mln),area,latitude,longitude,Bedrooms,Bathrooms,Balcony,parking,Lift,Status,neworold,Furnished_status,type_of_building
5.2,620.0,19.4176229,72.8063943,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
22.0,970.0,19.039754,72.860385,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Individual House
20.0,1250.0,19.2050017,72.86927109999999,2.0,2.0,2.0,2.0,2.0,Ready to Move,Resale,SAS,Flat
22.0,668.0,19.201963600000003,72.8578543,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
7.540000000000001,775.0,19.28217,72.87654,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
45.0,1050.0,19.0815087,72.8376755,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
15.5,1180.0,19.1629924,72.83930190000001,3.0,4.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
15.5,1050.0,19.1066791,72.915486,2.0,2.0,2.0,2.0,2.0,Ready to Move,Resale,SAS,Individual House
21.0,840.0,19.0732695,72.8627475,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,SAS,Flat
37.0,1650.0,19.0013826,72.84845279999999,3.0,3.0,1.0,1.0,1.0,SAS,Resale,Furnished,Flat
35.0,1050.0,18.9572287,72.8196689,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
110.0,1750.0,18.9144523,72.8205292,4.0,4.0,1.0,1.0,1.0,Ready to Move,Resale,Unfurnished,Flat
25.0,600.0,19.0266983,72.85302490000001,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
25.0,1000.0,19.11382558,72.89989433,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
21.5,900.0,19.14724,72.84012,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat
30.0,1400.0,19.2273218,72.8590594,4.0,4.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
57.5,1600.0,19.11478614807129,72.83078002929688,3.0,3.0,1.0,1.0,1.0,Ready to Move,Resale,Furnished,Individual House
21.0,1100.0,19.155994,72.847275,3.0,3.0,1.0,1.0,1.0,Ready to Move,New Property,SAS,Flat
13.5,700.0,19.2100454,72.8183494,2.0,2.0,3.0,3.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat
17.5,719.0,19.026840600000003,72.8411327,2.0,2.0,0.0,0.0,0.0,SAS,Resale,Semi-Furnished,Flat
28.0,1450.0,19.0327996,72.89635679999999,3.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,Unfurnished,Flat
22.5,1070.0,19.2099437,72.83086920000001,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Individual House
20.7,1200.0,19.1077728874082,72.89723402507059,2.0,2.0,2.0,2.0,2.0,Ready to Move,Resale,SAS,Flat
37.5,1258.0,19.006180342037,72.8286779623475,2.0,2.0,0.0,0.0,0.0,Ready to Move,New Property,SAS,Flat
13.5,1040.0,19.079069,72.889208,2.0,2.0,2.0,2.0,2.0,Ready to Move,Resale,SAS,Flat
18.0,946.0,19.1297376,72.8291555,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
28.0,672.0,18.9953333,72.8300383,2.0,2.0,1.0,1.0,1.0,SAS,New Property,Unfurnished,Flat
31.5,1055.0,19.119060516357425,72.86415100097656,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
30.0,2500.0,19.1401705,72.94310379999999,3.0,2.0,2.0,2.0,2.0,Ready to Move,Resale,Furnished,Flat
15.2,700.0,19.186607,72.942094,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
4.6,589.0,19.4540588,72.7688226,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,SAS,Flat
26.0,875.0,18.976914,72.83160500000001,2.0,2.0,3.0,3.0,3.0,Ready to Move,Resale,Furnished,Flat
14.0,1010.0,19.1572997,72.9365184,2.0,2.0,4.0,4.0,4.0,Ready to Move,Resale,SAS,Flat
15.0,840.0,19.23612,72.84193,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
11.5,850.0,19.15896,72.93373000000001,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Individual House
32.5,1034.0,19.2248756,72.86314300000001,3.0,3.0,0.0,0.0,0.0,SAS,Resale,Unfurnished,Flat
50.5,1705.0,18.998096278561693,72.84285746137698,3.0,3.0,1.0,1.0,1.0,Ready to Move,Resale,SAS,Flat
22.0,1215.0,19.1458063,72.937659,3.0,3.0,2.0,2.0,2.0,Ready to Move,Resale,SAS,Flat
15.0,700.0,19.1741063832625,72.87221706723409,2.0,2.0,3.0,3.0,3.0,Ready to Move,New Property,SAS,Flat
